fname,lname,email,gender,dob,mnumber,address,city,state,pincode,country
pankaj1,kumar1,trinacraukigrou-98fffa346@yopmail.com,1,2000/07/23,906819201,india,up,up,202020,in
pankaj2,kumar2,trinacraukigrou-983a64@yopmail.com,1,2000/07/24,906819201,india,up,up,202020,in
pankaj3,kumar3,trinacraukigrou-95a83m6@yopmail.com,1,2000/07/25,906819201,india,up,up,202020,in
pankaj4,kumar4,trinacraukigrou-983zxa56@yopmail.com,1,2000/07/26,906819201,india,up,up,202020,in
pankaj5,kumar5,trinacraukigrou-98356fe@yopmail.com,1,2000/07/27,906819201,india,up,up,202020,in
pankaj6,kumar6,trinacraukigrou-983dfvfd6@yopmail.com,1,2000/07/28,906819201,india,up,up,202020,in
pankaj7,kumar7,trinacraukigrou-98ddfgssd36@yopmail.com,1,2000/07/29,906819201,india,up,up,202020,in
pankaj8,kumar8,trinacraukigrou-9ggfyu836@yopmail.com,1,2000/07/30,906819201,india,up,up,202020,in
pankaj9,kumar9,trinacraukigrou-983ytfffjhg6@yopmail.com,1,2000/07/31,906819201,india,up,up,202020,in
pankaj10,kumar10,trinacraukigrou-983sqwetty6@yopmail.com,1,2000/08/01,906819201,india,up,up,202020,in
