fname,lname,email,gender,dob,mnumber,address,city,state,pincode,country,department
Asif,Imam,asifimam5d@yopmail.com,male,31/12/2023,8788798510,,,,112233,,Computer
Adil,Imam,adil@yopmail.com,male,31/12/2024,8788987510,,,,112233,,Computer
Pankaj,Imam,pankaj87@yopmail.com,male,31/12/2025,8782348510,,,,112233,,Mathematics
Parwez,Imam,parwez23@yopmail.com,male,31/12/2026,8788798521,,,,112233,,Mechanical
Asif3,Imam,asif982d@yopmail.com,male,31/12/2027,8788798522,,,,112233,,Computer
Asif5,Imam,asif983d@yopmail.com,male,31/12/2028,8788798523,,,,112233,,Mathematics
Asif8,Imam,asif948d@yopmail.com,male,31/12/2029,8788798524,,,,112233,,Computer
Asif23,Imam,asif958d@yopmail.com,male,31/12/2030,8788798525,,,,112233,,Mechanical
Asif143,Imam,asif968d@yopmail.com,male,31/12/2031,8788798526,,,,112233,,Computer
Asif87,Imam,asif988d@yopmail.com,male,31/12/2032,8788798527,,,,112233,,Mechanical
Asif23,Imam,asif989d@yopmail.com,male,31/12/2033,8788798528,,,,112233,,Computer
