fname,lname,email,gender,dob,mnumber,address,city,state,pincode,country,department
sam,currem,sam1@yopmail.com,male,20/11/1990,7895476477,Adarsh nagar khora,Ghaziabad,Maharastra,223344,India,B.Pharma
jain,blured,jain1@yopmail.com,female,15/10/1997,7436987421,BK Nagar,Goa,Goa,717144,India,Chemistry Department
pankaj,123,jain2@yopmail.com,male,20/11/1990,7436987321,BK Nagar,Noida,Maharastra,789466,,Chemistry Department
prince,qwe,jain3@yopmail.com,male,20/11/1991,7436987521,BK Nagar,Noida,Maharastra,741258,,Chemistry Department
ranjeet,asd,jain4@yopmail.com,male,20/11/1992,7436989521,BK Nagar,Noida,Maharastra,732580,,Chemistry Department
vipul,asdd,jain5@yopmail.com,male,20/11/1993,7436987321,BK Nagar,Noida,Maharastra,741236,,Chemistry Department
mustakeem,454,jain6@yopmail.com,male,20/11/1994,7436980521,BK Nagar,Noida,Maharastra,234232,,Chemistry Department
prashuk,sdf,jain7@yopmail.com,male,20/11/1995,7436981521,BK Nagar,Noida,Maharastra,234234,,Chemistry Department
saurabh,sdf,jain8@yopmail.com,male,20/11/1996,7436987531,BK Nagar,Noida,Maharastra,456456,,Chemistry Department
kritika,sdf,jain9@yopmail.com,male,20/11/1997,7436987621,BK Nagar,Noida,Maharastra,456574,,B.Pharma
asif,sdxc,jain10@yopmail.com,male,20/11/1998,8436987521,Adarsh nagar khora,Noida,Maharastra,345678,,B.Pharma
javed,gdsfd,jain11@yopmail.com,female,15/10/1997,7536987521,Adarsh nagar khora,Ghaziabad,Goa,987654,,B.Pharma
asdfasd,sdfse,jain12@yopmail.com,female,15/10/1997,7895446477,Adarsh nagar khora,Ghaziabad,Goa,432123,,B.Pharma
asdfasde,sere,jain13@yopmail.com,female,15/10/1998,7895446487,Adarsh nagar khora,Ghaziabad,Goa,456783,,B.Pharma
asdfasdsd,ersdf,jain14@yopmail.com,female,15/10/1999,7895446497,Adarsh nagar khora,Ghaziabad,Goa,234567,,B.Pharma
asdfasd2,sdres,jain15@yopmail.com,female,15/10/2000,7895446467,Adarsh nagar khora,Ghaziabad,Goa,127654,,B.Pharma
asdfasdsd,essdfs,jain16@yopmail.com,female,15/10/2001,7895446407,Adarsh nagar khora,Ghaziabad,Goa,127654,,B.Pharma
asdvd,sder,jain17@yopmail.com,female,15/10/2002,7895446417,Adarsh nagar khora,Ghaziabad,Goa,127654,,B.Pharma
sdfdssee,ere,jain18@yopmail.com,female,15/10/2003,7895446437,Adarsh nagar khora,Ghaziabad,Goa,127654,,B.Pharma
